,County,State,Total infections
181,Kern County,California,43754546
182,Kings County,California,9569456
183,Lake County,California,1652721
184,Lassen County,California,2294453
185,Los Angeles County,California,477580584
186,Madera County,California,6900034
187,Marin County,California,5530026
188,Mariposa County,California,273838
189,Mendocino County,California,1954987
190,Merced County,California,12667978
191,Modoc County,California,227443
192,Mono County,California,511854
193,Monterey County,California,16626806
194,Napa County,California,3890941
195,Orange County,California,104235810
196,Placer County,California,10313825
197,Plumas County,California,368316
198,Riverside County,California,117231314
199,Sacramento County,California,44494037
200,San Benito County,California,2351270
201,San Bernardino County,California,115185345
202,San Diego County,California,114366289
203,San Francisco County,California,15605007
204,San Joaquin County,California,29984541
205,San Luis Obispo County,California,8673009
206,San Mateo County,California,16575122
207,Santa Barbara County,California,13599757
208,Santa Clara County,California,45796345
209,Shasta County,California,5889799
210,Sierra County,California,36636
211,Siskiyou County,California,1071674
212,Solano County,California,13424900
213,Sonoma County,California,12271497
214,Stanislaus County,California,25099534
215,Sutter County,California,3965815
216,Tehama County,California,2359618
217,Trinity County,California,190410
218,Tulare County,California,22151859
219,Tuolumne County,California,1881884
220,Ventura County,California,31555064
221,Yolo County,California,5812635
222,Yuba County,California,2790205
223,Adams County,Colorado,23263179
224,Alamosa County,Colorado,670466
225,Arapahoe County,Colorado,24018679
226,Archuleta County,Colorado,409184
227,Baca County,Colorado,129505
228,Bent County,Colorado,572185
229,Boulder County,Colorado,9175822
230,Broomfield County,Colorado,1918349
231,Chaffee County,Colorado,677736
232,Cheyenne County,Colorado,54434
233,Clear Creek County,Colorado,200899
234,Conejos County,Colorado,262180
235,Costilla County,Colorado,99279
236,Crowley County,Colorado,799488
237,Custer County,Colorado,94556
238,Delta County,Colorado,1143840
239,Denver County,Colorado,27901104
240,Dolores County,Colorado,50424
241,Douglas County,Colorado,11641312
242,Eagle County,Colorado,2453675
243,El Paso County,Colorado,27926272
244,Elbert County,Colorado,719801
245,Fremont County,Colorado,2520812
246,Garfield County,Colorado,2356493
247,Gilpin County,Colorado,111263
248,Grand County,Colorado,587197
249,Gunnison County,Colorado,534614
250,Hinsdale County,Colorado,12351
251,Huerfano County,Colorado,176849
252,Kiowa County,Colorado,47230
253,Kit Carson County,Colorado,267318
254,La Plata County,Colorado,1621827
255,Larimer County,Colorado,10786364
256,Las Animas County,Colorado,499941
257,Mesa County,Colorado,6648679
258,Mineral County,Colorado,35889
259,Moffat County,Colorado,439857
260,Montezuma County,Colorado,862968
261,Montrose County,Colorado,1533978
262,Otero County,Colorado,812907
263,Ouray County,Colorado,121654
264,Park County,Colorado,348588
265,Pitkin County,Colorado,959750
266,Prowers County,Colorado,503342
267,Pueblo County,Colorado,7407734
268,Rio Blanco County,Colorado,258759
269,Rio Grande County,Colorado,379135
270,Routt County,Colorado,926053
271,Saguache County,Colorado,175876
272,San Juan County,Colorado,23576
273,San Miguel County,Colorado,349858
274,Sedgwick County,Colorado,90712
275,Summit County,Colorado,1444697
276,Teller County,Colorado,742098
277,Weld County,Colorado,13016269
278,Fairfield County,Connecticut,36068623
279,Hartford County,Connecticut,31033502
280,Litchfield County,Connecticut,5336674
281,Middlesex County,Connecticut,4698053
282,New Haven County,Connecticut,33198187
283,New London County,Connecticut,8486027
284,Tolland County,Connecticut,3542027
285,Windham County,Connecticut,4106360
286,Kent County,Delaware,7168963
287,New Castle County,Delaware,24044795
288,Sussex County,Delaware,10208774
289,District of Columbia County,District of Columbia,18966666
290,Alachua County,Florida,10675761
291,Baker County,Florida,1592590
292,Bay County,Florida,8646688
293,Bradford County,Florida,1389762
294,Brevard County,Florida,19568267
295,Broward County,Florida,98364378
296,Charlotte County,Florida,5791527
297,Citrus County,Florida,5087591
298,Collier County,Florida,15181981
299,DeSoto County,Florida,1837118
300,Dixie County,Florida,742947
301,Duval County,Florida,43989097
302,Flagler County,Florida,3460801
303,Gadsden County,Florida,2426890
304,Gilchrist County,Florida,760829
305,Glades County,Florida,404759
306,Gulf County,Florida,835383
307,Hamilton County,Florida,726636
308,Hardee County,Florida,1490109
309,Hendry County,Florida,2091613
310,Hernando County,Florida,6744270
311,Highlands County,Florida,3891452
312,Hillsborough County,Florida,61389243
313,Holmes County,Florida,1010743
314,Indian River County,Florida,5644722
315,Leon County,Florida,13674816
316,Levy County,Florida,1657901
317,Liberty County,Florida,485005
318,Manatee County,Florida,16731595
319,Martin County,Florida,5343764
320,Miami-Dade County,Florida,195254134
321,Nassau County,Florida,3875143
322,Okaloosa County,Florida,9033461
323,Okeechobee County,Florida,1846253
324,Osceola County,Florida,19081389
325,Palm Beach County,Florida,60780494
326,Pasco County,Florida,19186152
327,Pinellas County,Florida,34649877
328,Putnam County,Florida,3121427
329,Santa Rosa County,Florida,8268141
330,Sarasota County,Florida,14172971
331,Seminole County,Florida,15546814
332,St. Johns County,Florida,10368971
333,St. Lucie County,Florida,12006725
334,Suwannee County,Florida,2415552
335,Taylor County,Florida,1211285
336,Volusia County,Florida,19242947
337,Wakulla County,Florida,1604519
338,Walton County,Florida,3212274
339,Appling County,Georgia,974165
340,Atkinson County,Georgia,440713
341,Bacon County,Georgia,691730
342,Banks County,Georgia,769484
343,Barrow County,Georgia,4091042
344,Bartow County,Georgia,5881897
345,Ben Hill County,Georgia,903285
346,Berrien County,Georgia,870402
347,Bleckley County,Georgia,642316
348,Brantley County,Georgia,772164
349,Brooks County,Georgia,630602
350,Bryan County,Georgia,1617530
351,Bulloch County,Georgia,2987259
352,Burke County,Georgia,1061008
353,Butts County,Georgia,1279891
354,Camden County,Georgia,1930896
355,Candler County,Georgia,424398
356,Catoosa County,Georgia,2648193
357,Charlton County,Georgia,632705
358,Chatham County,Georgia,10151813
359,Chattahoochee County,Georgia,1636360
360,Chattooga County,Georgia,1218136
361,Clayton County,Georgia,10909081
362,Clinch County,Georgia,409530
363,Cobb County,Georgia,31580175
364,Colquitt County,Georgia,2060092
365,Cook County,Georgia,889568
366,Coweta County,Georgia,5835887
367,Crisp County,Georgia,873311
368,Dade County,Georgia,599636
369,Dawson County,Georgia,1289266
370,Decatur County,Georgia,1278187
371,Dodge County,Georgia,956723
372,Dooly County,Georgia,452029
373,Dougherty County,Georgia,3293319
374,Early County,Georgia,511977
375,Echols County,Georgia,204302
376,Effingham County,Georgia,2169037
377,Emanuel County,Georgia,1154484
378,Evans County,Georgia,432421
379,Fannin County,Georgia,1018221
380,Floyd County,Georgia,5034861
381,Forsyth County,Georgia,9385070
382,Gilmer County,Georgia,1271017
383,Glascock County,Georgia,113664
384,Glynn County,Georgia,3823501
385,Gordon County,Georgia,3278317
386,Grady County,Georgia,960818
387,Gwinnett County,Georgia,39630372
388,Habersham County,Georgia,2143926
389,Hall County,Georgia,11104455
390,Hancock County,Georgia,356172
391,Haralson County,Georgia,1086854
392,Harris County,Georgia,1057154
393,Hart County,Georgia,993707
394,Heard County,Georgia,387443
395,Irwin County,Georgia,406602
396,Jasper County,Georgia,588985
397,Jeff Davis County,Georgia,807581
398,Jenkins County,Georgia,347522
399,Jones County,Georgia,894315
400,Lanier County,Georgia,367738
401,Laurens County,Georgia,2456250
402,Long County,Georgia,417185
403,Lumpkin County,Georgia,1296482
404,McDuffie County,Georgia,1005830
405,McIntosh County,Georgia,407611
406,Meriwether County,Georgia,833509
407,Mitchell County,Georgia,906601
408,Murray County,Georgia,2057520
409,Muscogee County,Georgia,6745232
410,Oconee County,Georgia,1624046
411,Oglethorpe County,Georgia,614217
412,Paulding County,Georgia,6946601
413,Peach County,Georgia,1119628
414,Pierce County,Georgia,1116386
415,Quitman County,Georgia,70082
416,Rabun County,Georgia,716341
417,Richmond County,Georgia,9994906
418,Rockdale County,Georgia,3158053
419,Schley County,Georgia,162851
420,Screven County,Georgia,454579
421,Spalding County,Georgia,2727769
422,Stephens County,Georgia,1316770
423,Stewart County,Georgia,409083
424,Talbot County,Georgia,203717
425,Taliaferro County,Georgia,48880
426,Tattnall County,Georgia,1022380
427,Telfair County,Georgia,586615
428,Terrell County,Georgia,339961
429,Thomas County,Georgia,2019998
430,Tift County,Georgia,2217813
431,Toombs County,Georgia,1481230
432,Towns County,Georgia,504854
433,Treutlen County,Georgia,354340
434,Troup County,Georgia,3113393
435,Turner County,Georgia,453697
436,Twiggs County,Georgia,300646
437,Upson County,Georgia,1480259
438,Ware County,Georgia,2083887
439,Warren County,Georgia,217707
440,Wayne County,Georgia,1549913
441,Webster County,Georgia,65427
442,Wheeler County,Georgia,270263
443,Whitfield County,Georgia,6745393
444,Wilkes County,Georgia,439982
445,Wilkinson County,Georgia,405343
446,Worth County,Georgia,801643
447,Hawaii County,Hawaii,2066876
448,Honolulu County,Hawaii,13406440
449,Kalawao County,Hawaii,365
450,Kauai County,Hawaii,405815
451,Maui County,Hawaii,2192940
452,Ada County,Idaho,21853656
453,Bannock County,Idaho,3632528
454,Bear Lake County,Idaho,173239
455,Benewah County,Idaho,318048
456,Bingham County,Idaho,1932572
457,Blaine County,Idaho,914484
458,Boise County,Idaho,173063
459,Bonner County,Idaho,1442919
460,Bonneville County,Idaho,5792701
461,Boundary County,Idaho,382524
462,Camas County,Idaho,29356
463,Canyon County,Idaho,11295034
464,Caribou County,Idaho,282382
465,Cassia County,Idaho,1167052
466,Clearwater County,Idaho,450375
467,Gem County,Idaho,759832
468,Gooding County,Idaho,584921
469,Idaho County,Idaho,566541
470,Jerome County,Idaho,1128653
471,Kootenai County,Idaho,7776107
472,Latah County,Idaho,1266366
473,Lemhi County,Idaho,229163
474,Lewis County,Idaho,191279
475,Minidoka County,Idaho,939016
476,Nez Perce County,Idaho,1611218
477,Oneida County,Idaho,149310
478,Owyhee County,Idaho,447075
479,Payette County,Idaho,1087356
480,Power County,Idaho,281169
481,Shoshone County,Idaho,507891
482,Teton County,Idaho,478240
483,Twin Falls County,Idaho,4190092
484,Valley County,Idaho,376210
